gene_id	CHROM	POS	STRAND	gene_name	interval
ENSG00000091039	chr12	76953589	-	OSBPL8	chr12:76745577-76953589
ENSG00000186908	chr12	77157367	+	ZDHHC17	chr12:77157368-77247476
ENSG00000175183	chr12	77272840	-	CSRP2	chr12:77252495-77272840
ENSG00000165891	chr12	77459360	-	E2F7	chr12:77415027-77459360
ENSG00000067798	chr12	78225068	+	NAV3	chr12:78224685-78606790
ENSG00000067715	chr12	79258448	+	SYT1	chr12:79257773-79845788
ENSG00000177425	chr12	80084877	-	PAWR	chr12:79968759-80084877
ENSG00000058272	chr12	80328978	-	PPP1R12A	chr12:80167343-80329240
ENSG00000165899	chr12	80603232	+	OTOGL	chr12:80603233-80772870
ENSG00000139304	chr12	80838125	+	PTPRQ	chr12:80799774-81072802
ENSG00000111046	chr12	81101276	+	MYF6	chr12:81101277-81103253
ENSG00000111049	chr12	81110690	+	MYF5	chr12:81110691-81113452
ENSG00000111052	chr12	81331704	-	LIN7A	chr12:81186299-81331704
ENSG00000111058	chr12	81470989	+	ACSS3	chr12:81331594-81650533
ENSG00000139220	chr12	82153109	-	PPFIA2	chr12:81652045-82153332
ENSG00000127720	chr12	82752275	+	METTL25	chr12:82752276-82873015
ENSG00000133773	chr12	82752567	-	CCDC59	chr12:82617460-82752584
ENSG00000179104	chr12	83080658	+	TMTC2	chr12:83080659-83528649
ENSG00000072041	chr12	85306655	-	SLC6A15	chr12:85253492-85307394
ENSG00000231738	chr12	85430035	-	TSPAN19	chr12:85408094-85430055
ENSG00000180318	chr12	85673884	+	ALX1	chr12:85673885-85695562
ENSG00000198774	chr12	86230348	-	RASSF9	chr12:86198331-86230348
ENSG00000133636	chr12	86268074	+	NTS	chr12:86268073-86276770
ENSG00000182050	chr12	86650045	-	MGAT4C	chr12:86372516-87232681
ENSG00000165805	chr12	88423189	-	C12orf50	chr12:88373816-88427814
ENSG00000133641	chr12	88429222	+	C12orf29	chr12:88427623-88443937
ENSG00000198707	chr12	88535993	-	CEP290	chr12:88442793-88535993
ENSG00000139324	chr12	88536072	+	TMTC3	chr12:88536073-88593664
ENSG00000049130	chr12	88974238	-	KITLG	chr12:88886570-88974628
ENSG00000139318	chr12	89747048	-	DUSP6	chr12:89741009-89747048
ENSG00000257594	chr12	89918583	-	GALNT4	chr12:89913185-89920039
ENSG00000139323	chr12	89919801	-	POC1B	chr12:89813495-89919801
ENSG00000259075	chr12	89919975	-	POC1B-GALNT4	chr12:89913185-89920039
ENSG00000070961	chr12	90102608	-	ATP2B1	chr12:89981828-90103077
ENSG00000197651	chr12	91348953	-	CCER1	chr12:91299399-91348953
ENSG00000083782	chr12	91398803	-	EPYC	chr12:91357456-91398803
ENSG00000139330	chr12	91451760	-	KERA	chr12:91444268-91451760
ENSG00000139329	chr12	91505608	-	LUM	chr12:91496406-91505608
ENSG00000011465	chr12	91576900	-	DCN	chr12:91539025-91576900
ENSG00000133639	chr12	92539673	-	BTG1	chr12:92536286-92539673
ENSG00000257127	chr12	92817734	+	CLLU1	chr12:92815307-92824778
ENSG00000187510	chr12	93130310	+	PLEKHG7	chr12:93115281-93166231
ENSG00000102189	chr12	93323107	-	EEA1	chr12:93164413-93323107
ENSG00000173598	chr12	93771658	+	NUDT4	chr12:93771659-93797024
ENSG00000177889	chr12	93836038	-	UBE2N	chr12:93799449-93836038
ENSG00000198015	chr12	93861263	+	MRPL42	chr12:93861264-93897545
ENSG00000120833	chr12	93963589	+	SOCS2	chr12:93963590-93977263
ENSG00000169372	chr12	94071492	+	CRADD	chr12:94071151-94288616
ENSG00000136040	chr12	94542498	+	PLXNC1	chr12:94542499-94701451
ENSG00000173588	chr12	94853728	-	CCDC41	chr12:94700225-94853764
ENSG00000057704	chr12	95044338	-	TMCC3	chr12:94960900-95044338
ENSG00000184752	chr12	95397546	-	NDUFA12	chr12:95290831-95397546
ENSG00000120798	chr12	95467479	-	NR2C1	chr12:95414005-95467479
ENSG00000180263	chr12	95611240	-	FGD6	chr12:95470525-95611258
ENSG00000028203	chr12	95611521	+	VEZT	chr12:95611522-95696566
ENSG00000111142	chr12	95867726	+	METAP2	chr12:95867296-95909615
ENSG00000136014	chr12	95945266	-	USP44	chr12:95910336-95945266
ENSG00000074527	chr12	96184536	-	NTN4	chr12:96051583-96184930
ENSG00000139343	chr12	96252705	+	SNRPF	chr12:96252706-96297606
ENSG00000165972	chr12	96336752	-	CCDC38	chr12:96260826-96336752
ENSG00000139344	chr12	96337070	+	AMDHD1	chr12:96337071-96362370
ENSG00000084110	chr12	96390143	-	HAL	chr12:96366440-96390143
ENSG00000111144	chr12	96429439	-	LTA4H	chr12:96394606-96437298
ENSG00000111145	chr12	96588159	+	ELK3	chr12:96588160-96663613
ENSG00000059758	chr12	96794338	-	CDK17	chr12:96672039-96794338
ENSG00000188596	chr12	96883364	+	C12orf55	chr12:96883349-97269333
ENSG00000139350	chr12	97301243	+	NEDD1	chr12:97301001-97347129
ENSG00000120802	chr12	98909407	+	TMPO	chr12:98909290-98944157
ENSG00000075415	chr12	98987402	+	SLC25A3	chr12:98987369-98995946
ENSG00000166130	chr12	99038853	-	IKBIP	chr12:99007183-99038891
ENSG00000120868	chr12	99038918	+	APAF1	chr12:99038919-99129204
ENSG00000180219	chr12	100041530	+	FAM71C	chr12:100041531-100043824
ENSG00000185046	chr12	100378015	-	ANKS1B	chr12:99120235-100378432
ENSG00000075089	chr12	100593864	+	ACTR6	chr12:100592900-100635643
ENSG00000166153	chr12	100660857	-	DEPDC4	chr12:100597447-100660857
ENSG00000136021	chr12	100661161	+	SCYL2	chr12:100660918-100735502
ENSG00000179520	chr12	100750856	+	SLC17A8	chr12:100750857-100815837
ENSG00000012504	chr12	100897137	+	NR1H4	chr12:100867486-100958191
ENSG00000139354	chr12	100987395	+	GAS2L3	chr12:100967461-101022064
ENSG00000151572	chr12	101188584	+	ANO4	chr12:101111304-101522419
ENSG00000256870	chr12	101604185	-	SLC5A8	chr12:101549271-101604185
ENSG00000120800	chr12	101673886	+	UTP20	chr12:101673887-101780394
ENSG00000120805	chr12	101801598	-	ARL1	chr12:101786898-101801598
ENSG00000166211	chr12	101869198	+	SPIC	chr12:101869199-101880775
ENSG00000196091	chr12	101988746	+	MYBPC1	chr12:101962131-102079796
ENSG00000111666	chr12	102091404	+	CHPT1	chr12:102090725-102137918
ENSG00000139351	chr12	102133247	-	SYCP3	chr12:102122426-102133250
ENSG00000111670	chr12	102224716	-	GNPTAB	chr12:102139275-102224716
ENSG00000136048	chr12	102271128	+	DRAM1	chr12:102271129-102405908
ENSG00000120860	chr12	102455902	-	CCDC53	chr12:102406705-102455927
ENSG00000075188	chr12	102513902	-	NUP37	chr12:102467967-102513902
ENSG00000185480	chr12	102514022	+	PARPBP	chr12:102513956-102591298
ENSG00000183395	chr12	102591623	-	PMCH	chr12:102590237-102591623
ENSG00000017427	chr12	102874341	-	IGF1	chr12:102789645-102874423
ENSG00000171759	chr12	103311381	-	PAH	chr12:103230663-103352188
ENSG00000139352	chr12	103351463	+	ASCL1	chr12:103351464-103354294
ENSG00000136011	chr12	103981050	+	STAB2	chr12:103981051-104160505
ENSG00000111696	chr12	104234975	-	NT5DC3	chr12:104164231-104234975
ENSG00000166598	chr12	104324111	+	HSP90B1	chr12:104323885-104347423
ENSG00000204954	chr12	104351042	-	C12orf73	chr12:104343980-104359486
ENSG00000139372	chr12	104359581	+	TDG	chr12:104359582-104382652
ENSG00000120820	chr12	104443915	-	GLT8D2	chr12:104382762-104457961
ENSG00000111727	chr12	104458234	+	HCFC2	chr12:104458235-104498639
ENSG00000120837	chr12	104532067	-	NFYB	chr12:104510855-104532067
ENSG00000198431	chr12	104609556	+	TXNRD1	chr12:104609557-104744061
ENSG00000255150	chr12	104697516	+	EID3	chr12:104697517-104698980
ENSG00000171310	chr12	104850750	+	CHST11	chr12:104849073-105155792
ENSG00000136052	chr12	105322433	-	SLC41A2	chr12:105196331-105352522
ENSG00000136010	chr12	105478355	-	ALDH1L2	chr12:105413568-105478355
ENSG00000136051	chr12	105501491	+	KIAA1033	chr12:105501102-105562912
ENSG00000136044	chr12	105629861	-	APPL2	chr12:105567074-105630016
ENSG00000074590	chr12	106533811	-	NUAK1	chr12:106457118-106533811
ENSG00000136026	chr12	106641766	-	CKAP4	chr12:106631655-106698057
ENSG00000013503	chr12	106751435	+	POLR3B	chr12:106751436-106903976
ENSG00000111783	chr12	106994914	+	RFX4	chr12:106976685-107156581
ENSG00000111785	chr12	107168417	+	RIC8B	chr12:107168373-107283090
ENSG00000151135	chr12	107349499	+	C12orf23	chr12:107349497-107372556
ENSG00000120832	chr12	107380904	-	MTERFD3	chr12:107371069-107380944
ENSG00000008405	chr12	107487607	-	CRY1	chr12:107385142-107487607
ENSG00000151136	chr12	107712189	+	BTBD11	chr12:107712190-108053419
ENSG00000136045	chr12	108079508	+	PWP1	chr12:108079509-108106944
ENSG00000110851	chr12	108154937	-	PRDM4	chr12:108126643-108155049
ENSG00000187855	chr12	108168161	+	ASCL4	chr12:108168162-108170421
ENSG00000075035	chr12	108525527	+	WSCD2	chr12:108523248-108644314
ENSG00000174600	chr12	108733094	-	CMKLR1	chr12:108681821-108733118
ENSG00000198855	chr12	108908961	+	FICD	chr12:108908962-108919614
ENSG00000075856	chr12	108955165	-	SART3	chr12:108916357-108955176
ENSG00000136003	chr12	108956376	+	ISCU	chr12:108956358-108963160
ENSG00000183160	chr12	108991900	-	TMEM119	chr12:108983622-108992096
ENSG00000110876	chr12	109025854	-	SELPLG	chr12:109015686-109027735
ENSG00000110880	chr12	109125372	-	CORO1C	chr12:109038885-109125372
ENSG00000084112	chr12	109251366	-	SSH1	chr12:109176466-109251366
ENSG00000110887	chr12	109273805	+	DAO	chr12:109252708-109294819
ENSG00000166111	chr12	109372439	-	SVOP	chr12:109304658-109459045
ENSG00000135093	chr12	109490390	+	USP30	chr12:109460894-109525831
ENSG00000189046	chr12	109531264	-	ALKBH2	chr12:109525996-109531436
ENSG00000076248	chr12	109535378	+	UNG	chr12:109535379-109548797
ENSG00000076555	chr12	109554399	+	ACACB	chr12:109554400-109706031
ENSG00000139445	chr12	109747025	-	FOXN4	chr12:109715784-109747025
ENSG00000174527	chr12	109785707	+	MYO1H	chr12:109785708-109893328
ENSG00000110906	chr12	109915349	-	KCTD10	chr12:109886461-109915349
ENSG00000151148	chr12	109915446	+	UBE3B	chr12:109915207-109974507
ENSG00000110921	chr12	110011616	+	MVK	chr12:110011060-110035067
ENSG00000139428	chr12	110011679	-	MMAB	chr12:109991542-110011679
ENSG00000111199	chr12	110252696	-	TRPV4	chr12:110220890-110271212
ENSG00000139433	chr12	110318293	-	GLTP	chr12:110288748-110318293
ENSG00000139437	chr12	110338322	+	TCHP	chr12:110338069-110421646
ENSG00000139436	chr12	110434029	-	GIT2	chr12:110367607-110434194
ENSG00000076513	chr12	110437327	+	ANKRD13A	chr12:110436991-110477568
ENSG00000122970	chr12	110562181	+	IFT81	chr12:110562140-110656602
ENSG00000174437	chr12	110719485	+	ATP2A2	chr12:110718561-110788898
ENSG00000196510	chr12	110841535	-	ANAPC7	chr12:110810705-110841535
ENSG00000111229	chr12	110888212	-	ARPC3	chr12:110872630-110888227
ENSG00000111231	chr12	110906526	-	GPN3	chr12:110890289-110907073
ENSG00000111237	chr12	110939904	-	VPS29	chr12:110928902-110939922
ENSG00000151164	chr12	110940043	+	RAD9B	chr12:110939460-110969891
ENSG00000196850	chr12	111021125	-	PPTC7	chr12:110969120-111021125
ENSG00000204852	chr12	111051968	+	TCTN1	chr12:111051832-111087235
ENSG00000122986	chr12	111126514	-	HVCN1	chr12:111065646-111142755
ENSG00000186298	chr12	111180744	-	PPP1CC	chr12:111157485-111180744
ENSG00000173093	chr12	111284763	+	CCDC63	chr12:111284573-111345339
ENSG00000111245	chr12	111358381	-	MYL2	chr12:111348623-111358526
ENSG00000111249	chr12	111471827	+	CUX2	chr12:111471828-111788358
ENSG00000198324	chr12	111806925	-	FAM109A	chr12:111798455-111806925
ENSG00000111252	chr12	111843751	+	SH2B3	chr12:111843752-111889427
ENSG00000204842	chr12	112037480	-	ATXN2	chr12:111890018-112037480
ENSG00000089234	chr12	112123790	-	BRAP	chr12:112079950-112123790
ENSG00000111271	chr12	112123879	+	ACAD10	chr12:112123857-112194903
ENSG00000111275	chr12	112204725	+	ALDH2	chr12:112204691-112247782
ENSG00000089022	chr12	112280429	+	MAPKAPK5	chr12:112279782-112334343
ENSG00000198270	chr12	112450915	-	TMEM116	chr12:112369086-112450970
ENSG00000089248	chr12	112451119	+	ERP29	chr12:112451120-112461255
ENSG00000111300	chr12	112546826	-	NAA25	chr12:112464500-112546826
ENSG00000135148	chr12	112563348	+	TRAFD1	chr12:112563305-112591407
ENSG00000173064	chr12	112819896	-	HECTD4	chr12:112597992-112819896
ENSG00000089009	chr12	112847400	-	RPL6	chr12:112842994-112856642
ENSG00000179295	chr12	112856717	+	PTPN11	chr12:112856155-112947717
ENSG00000089169	chr12	113229459	+	RPH3A	chr12:113008184-113336686
ENSG00000089127	chr12	113344587	+	OAS1	chr12:113344582-113369990
ENSG00000111331	chr12	113376156	+	OAS3	chr12:113376157-113411054
ENSG00000111335	chr12	113416199	+	OAS2	chr12:113416200-113449528
ENSG00000135144	chr12	113495494	+	DTX1	chr12:113494514-113535833
ENSG00000111344	chr12	113574029	-	RASAL1	chr12:113536624-113574044
ENSG00000186710	chr12	113587662	+	CCDC42B	chr12:113587663-113597081
ENSG00000123064	chr12	113623284	-	DDX54	chr12:113594979-113623284
ENSG00000139405	chr12	113623330	+	RITA1	chr12:113623331-113630173
ENSG00000186815	chr12	113659264	+	TPCN1	chr12:113658855-113736390
ENSG00000089060	chr12	113772835	-	SLC8B1	chr12:113736564-113797298
ENSG00000151176	chr12	113796374	+	PLBD2	chr12:113796371-113827203
ENSG00000135094	chr12	113841693	-	SDS	chr12:113830250-113864106
ENSG00000139410	chr12	113860041	+	SDSL	chr12:113860042-113876081
ENSG00000089116	chr12	113909877	-	LHX5	chr12:113899839-113910085
ENSG00000122965	chr12	114404111	-	RBM19	chr12:114254543-114404176
ENSG00000089225	chr12	114846247	-	TBX5	chr12:114791736-114846247
ENSG00000135111	chr12	115121395	-	TBX3	chr12:115108059-115121969
ENSG00000123066	chr12	116715143	-	MED13L	chr12:116395711-116715143
ENSG00000171471	chr12	116997185	+	MAP1LC3B2	chr12:116997186-117014425
ENSG00000111412	chr12	117175866	-	C12orf49	chr12:117153593-117175875
ENSG00000135119	chr12	117176095	+	RNFT2	chr12:117176096-117291436
ENSG00000135116	chr12	117319246	-	HRK	chr12:117293949-117319246
ENSG00000174989	chr12	117348760	+	FBXW8	chr12:117348761-117468953
ENSG00000088992	chr12	117537274	-	TESC	chr12:117476728-117537284
ENSG00000135108	chr12	117628261	-	FBXO21	chr12:117581146-117628336
ENSG00000089250	chr12	117768879	-	NOS1	chr12:117645947-117889975
ENSG00000171435	chr12	118406788	-	KSR2	chr12:117890817-118406788
ENSG00000111445	chr12	118454514	+	RFC5	chr12:118451393-118470935
ENSG00000176871	chr12	118498995	-	WSB2	chr12:118470712-118500235
ENSG00000176834	chr12	118541753	-	VSIG10	chr12:118501398-118573831
ENSG00000089220	chr12	118573662	+	PEBP1	chr12:118573663-118583389
ENSG00000135090	chr12	118810750	-	TAOK3	chr12:118587606-118810750
ENSG00000111707	chr12	118814184	+	SUDS3	chr12:118814185-118855840
ENSG00000139767	chr12	119419299	+	SRRM4	chr12:119419300-119600856
ENSG00000152137	chr12	119616446	+	HSPB8	chr12:119616447-119658936
ENSG00000183273	chr12	119772516	+	CCDC60	chr12:119772517-119978852
ENSG00000224982	chr12	120031263	+	TMEM233	chr12:120031264-120079363
ENSG00000111725	chr12	120105557	+	PRKAB1	chr12:120105558-120119435
ENSG00000122966	chr12	120315095	-	CIT	chr12:120123595-120315095
ENSG00000135127	chr12	120427672	+	CCDC64	chr12:120427673-120532298
ENSG00000111737	chr12	120554643	-	RAB35	chr12:120532899-120555306
ENSG00000089154	chr12	120632513	-	GCN1L1	chr12:120565007-120632513
ENSG00000089157	chr12	120638902	-	RPLP0	chr12:120634489-120639038
ENSG00000089159	chr12	120703563	-	PXN	chr12:120648250-120703574
ENSG00000089163	chr12	120740123	+	SIRT4	chr12:120740119-120751052
ENSG00000170890	chr12	120765592	-	PLA2G1B	chr12:120759914-120765592
ENSG00000135097	chr12	120806983	-	MSI1	chr12:120779133-120806983
ENSG00000111775	chr12	120875892	+	COX6A1	chr12:120875893-120878545
ENSG00000170855	chr12	120884215	-	TRIAP1	chr12:120881764-120884215
ENSG00000257218	chr12	120884240	+	GATC	chr12:120884241-120899389
ENSG00000111786	chr12	120907596	-	SRSF9	chr12:120899471-120907596
ENSG00000088986	chr12	120907652	+	DYNLL1	chr12:120907653-120936296
ENSG00000110871	chr12	120966985	-	COQ5	chr12:120941077-120972237
ENSG00000022840	chr12	120972153	+	RNF10	chr12:120971283-121015397
ENSG00000167272	chr12	121019201	-	POP5	chr12:121016567-121019201
ENSG00000157782	chr12	121078354	+	CABP1	chr12:121078355-121105127
ENSG00000110917	chr12	121124671	+	MLEC	chr12:121124672-121139667
ENSG00000175970	chr12	121148237	+	UNC119B	chr12:121148238-121161443
ENSG00000122971	chr12	121163537	+	ACADS	chr12:121163538-121177811
ENSG00000157837	chr12	121342174	-	SPPL3	chr12:121200313-121342174
ENSG00000135100	chr12	121416345	+	HNF1A	chr12:121416346-121440315
ENSG00000157895	chr12	121454300	-	C12orf43	chr12:121440225-121454305
ENSG00000135114	chr12	121477045	-	OASL	chr12:121458095-121477045
ENSG00000089041	chr12	121570630	+	P2RX7	chr12:121570622-121623876
ENSG00000135124	chr12	121647867	+	P2RX4	chr12:121647660-121671909
ENSG00000110931	chr12	121736111	-	CAMKK2	chr12:121675497-121736111
ENSG00000089053	chr12	121790265	-	ANAPC5	chr12:121746048-121837699
ENSG00000170633	chr12	121837921	+	RNF34	chr12:121837844-121868389
ENSG00000089094	chr12	122018889	-	KDM2B	chr12:121866900-122018920
ENSG00000182500	chr12	122064454	+	ORAI1	chr12:122064455-122080583
ENSG00000139714	chr12	122107560	-	MORN3	chr12:122089024-122110537
ENSG00000188735	chr12	122150700	+	TMEM120B	chr12:122150658-122220907
ENSG00000139725	chr12	122232168	-	RHOF	chr12:122215664-122241309
ENSG00000139718	chr12	122242637	+	SETD1B	chr12:122242086-122270562
ENSG00000158104	chr12	122296765	-	HPD	chr12:122277433-122301502
ENSG00000110801	chr12	122326636	+	PSMD9	chr12:122326637-122356203
ENSG00000158023	chr12	122355767	+	WDR66	chr12:122355768-122441833
ENSG00000110987	chr12	122457327	+	BCL7A	chr12:122457328-122499948
ENSG00000175727	chr12	122516627	+	MLXIP	chr12:122516628-122631894
ENSG00000204671	chr12	122658746	-	IL31	chr12:122656577-122658746
ENSG00000176383	chr12	122688089	+	B3GNT4	chr12:122688090-122693499
ENSG00000184047	chr12	122712081	-	DIABLO	chr12:122692210-122712081
ENSG00000256861	chr12	122750970	-	RP11-512M8.5	chr12:122692326-122750970
ENSG00000139719	chr12	122751068	-	VPS33A	chr12:122714111-122751068
ENSG00000130779	chr12	122865041	-	CLIP1	chr12:122755979-122907179
ENSG00000033030	chr12	122985518	-	ZCCHC8	chr12:122957417-122985518
ENSG00000111011	chr12	123011546	-	RSRC2	chr12:122989190-123011547
ENSG00000184445	chr12	123011794	+	KNTC1	chr12:123011793-123110943
ENSG00000182782	chr12	123187890	-	HCAR2	chr12:123185840-123187890
ENSG00000255398	chr12	123201439	-	HCAR3	chr12:123199303-123201439
ENSG00000196917	chr12	123215129	-	HCAR1	chr12:123104824-123215390
ENSG00000139726	chr12	123237320	+	DENR	chr12:123237321-123255611
ENSG00000130783	chr12	123258873	+	CCDC62	chr12:123258874-123312075
ENSG00000130787	chr12	123319972	+	HIP1R	chr12:123319000-123347507
ENSG00000139722	chr12	123380991	-	VPS37B	chr12:123349882-123380991
ENSG00000111325	chr12	123459126	+	OGFOD2	chr12:123459127-123464590
ENSG00000182196	chr12	123464606	+	ARL6IP4	chr12:123464607-123467456
ENSG00000150967	chr12	123466196	-	ABCB9	chr12:123405498-123466196
ENSG00000090975	chr12	123594975	-	PITPNM2	chr12:123468027-123634562
ENSG00000051825	chr12	123706441	-	MPHOSPH9	chr12:123636867-123728561
ENSG00000130921	chr12	123717462	+	C12orf65	chr12:123717463-123742506
ENSG00000111328	chr12	123756687	-	CDK2AP1	chr12:123745528-123756881
ENSG00000139697	chr12	123834988	-	SBNO1	chr12:123773656-123849390
ENSG00000183955	chr12	123868319	+	SETD8	chr12:123868320-123893905
ENSG00000150977	chr12	123921264	-	RILPL2	chr12:123899936-123921264
ENSG00000184209	chr12	123944069	+	SNRNP35	chr12:123942188-123957701
ENSG00000188026	chr12	124018265	-	RILPL1	chr12:123955925-124018265
ENSG00000086598	chr12	124069077	+	TMED2	chr12:124069078-124083116
ENSG00000111364	chr12	124086645	+	DDX55	chr12:124086624-124105488
ENSG00000111361	chr12	124118313	-	EIF2B1	chr12:124104953-124118313
ENSG00000111358	chr12	124118375	+	GTF2H3	chr12:124118375-124147153
ENSG00000168778	chr12	124155659	+	TCTN2	chr12:124155660-124192948
ENSG00000185344	chr12	124196864	+	ATP6V0A2	chr12:124196865-124246302
ENSG00000197653	chr12	124247041	+	DNAH10	chr12:124247042-124420753
ENSG00000119242	chr12	124457371	-	CCDC92	chr12:124403207-124457378
ENSG00000179195	chr12	124457669	+	ZNF664	chr12:124456392-124499986
ENSG00000178882	chr12	124773709	+	FAM101A	chr12:124457788-124800570
ENSG00000196498	chr12	124979798	-	NCOR2	chr12:124808961-125052135
ENSG00000073060	chr12	125348393	-	SCARB1	chr12:125261402-125367214
ENSG00000150991	chr12	125399894	-	UBC	chr12:125396150-125401914
ENSG00000150990	chr12	125473667	-	DHX37	chr12:125431371-125473668
ENSG00000184992	chr12	125478245	+	BRI3BP	chr12:125478246-125515777
ENSG00000081760	chr12	125549924	+	AACS	chr12:125549925-125627873
ENSG00000139364	chr12	125811161	+	TMEM132B	chr12:125671382-126146917
ENSG00000181234	chr12	128751947	+	TMEM132C	chr12:128751948-129192460
ENSG00000139370	chr12	129308528	-	SLC15A4	chr12:129277739-129308528
ENSG00000151948	chr12	129338080	+	GLT1D1	chr12:129337972-129469509
ENSG00000151952	chr12	130388211	-	TMEM132D	chr12:129556270-130388211
ENSG00000111432	chr12	130647003	+	FZD10	chr12:130647004-130650285
ENSG00000125207	chr12	130822431	+	PIWIL1	chr12:130822432-130857182
ENSG00000060709	chr12	131002410	-	RIMBP2	chr12:130880682-131200826
ENSG00000111450	chr12	131323739	-	STX2	chr12:131274145-131323811
ENSG00000132341	chr12	131356423	+	RAN	chr12:131356424-131362223
ENSG00000111452	chr12	131438451	+	GPR133	chr12:131438452-131626014
ENSG00000061936	chr12	132195681	+	SFSWAP	chr12:132195626-132284282
ENSG00000198598	chr12	132312937	+	MMP17	chr12:132312938-132336328
ENSG00000177169	chr12	132379195	+	ULK1	chr12:132379196-132407712
ENSG00000177192	chr12	132413767	+	PUS1	chr12:132413745-132428406
ENSG00000183495	chr12	132434507	+	EP400	chr12:132434508-132565005
ENSG00000185163	chr12	132628880	-	DDX51	chr12:132621139-132628880
ENSG00000184967	chr12	132628992	+	NOC4L	chr12:132628993-132637013
ENSG00000182870	chr12	132690573	-	GALNT9	chr12:132680924-132905935
ENSG00000112787	chr12	133066136	+	FBRSL1	chr12:133066137-133161774
ENSG00000187848	chr12	133195402	+	P2RX2	chr12:133195366-133198972
ENSG00000177084	chr12	133263945	-	POLE	chr12:133200348-133263951
ENSG00000176894	chr12	133264191	+	PXMP2	chr12:133264192-133297276
ENSG00000256632	chr12	133264634	+	RP13-672B3.2	chr12:133264635-133291498
ENSG00000247077	chr12	133287404	+	PGAM5	chr12:133287405-133299228
ENSG00000176915	chr12	133338474	-	ANKLE2	chr12:133302254-133338474
ENSG00000090615	chr12	133405288	-	GOLGA3	chr12:133345495-133405444
ENSG00000072609	chr12	133464194	-	CHFR	chr12:133398773-133532890
ENSG00000196458	chr12	133532892	-	ZNF605	chr12:133498019-133532892
ENSG00000198393	chr12	133563049	+	ZNF26	chr12:133562951-133589154
ENSG00000198040	chr12	133614165	+	ZNF84	chr12:133613878-133639885
ENSG00000196387	chr12	133656423	+	ZNF140	chr12:133656424-133684130
ENSG00000214029	chr12	133707059	-	ZNF891	chr12:133694740-133707059
ENSG00000256223	chr12	133707177	+	ZNF10	chr12:133707161-133736051
ENSG00000090612	chr12	133757994	+	ZNF268	chr12:133707570-133783698
ENSG00000227059	chr12	133812681	-	ANHX	chr12:133794898-133812681
ENSG00000198033	chr13	19755992	-	TUBA3C	chr13:19747910-19755992
ENSG00000121388	chr13	19756172	+	RP11-408E5.4	chr13:19756173-19761496
ENSG00000132958	chr13	20077419	-	TPTE2	chr13:19997017-20110903
ENSG00000196199	chr13	20207820	+	MPHOSPH8	chr13:20207788-20247599
ENSG00000121390	chr13	20357057	-	PSPC1	chr13:20248896-20357142
ENSG00000132950	chr13	20437664	-	ZMYM5	chr13:20397622-20437776
ENSG00000121741	chr13	20532809	+	ZMYM2	chr13:20532810-20665968
ENSG00000121743	chr13	20735188	-	GJA3	chr13:20712394-20735188
ENSG00000165474	chr13	20763919	-	GJB2	chr13:20761609-20767037
ENSG00000121742	chr13	20806534	-	GJB6	chr13:20796110-20806534
ENSG00000165475	chr13	21099996	-	CRYL1	chr13:20977806-21099996
ENSG00000032742	chr13	21141276	+	IFT88	chr13:21140585-21265503
ENSG00000172458	chr13	21277481	+	IL17D	chr13:21276266-21297237
ENSG00000150456	chr13	21348088	-	N6AMT2	chr13:21302870-21348097
ENSG00000132953	chr13	21476949	-	XPO4	chr13:21351469-21477187
ENSG00000150457	chr13	21635686	-	LATS2	chr13:21547171-21635686
ENSG00000150459	chr13	21714652	+	SAP18	chr13:21714653-21723221
ENSG00000165480	chr13	21750741	-	SKA3	chr13:21727734-21750741
ENSG00000173141	chr13	21750783	+	MRP63	chr13:21750784-21753223
ENSG00000180776	chr13	22033423	-	ZDHHC20	chr13:21950263-22033509
ENSG00000165487	chr13	22178353	-	MICU2	chr13:22066836-22178353
ENSG00000102678	chr13	22245521	+	FGF9	chr13:22245522-22278637
ENSG00000102683	chr13	23755090	+	SGCG	chr13:23755091-23899304
ENSG00000151835	chr13	24007841	-	SACS	chr13:23902965-24007841
ENSG00000127863	chr13	24153498	+	TNFRSF19	chr13:24144509-24250232
ENSG00000027001	chr13	24463558	-	MIPEP	chr13:24304328-24463558
ENSG00000205863	chr13	24471194	-	C1QTNF9B	chr13:24465238-24476794
ENSG00000182957	chr13	24553943	+	SPATA13	chr13:24553944-24881212
ENSG00000240654	chr13	24881303	+	C1QTNF9	chr13:24881304-24896673
ENSG00000102699	chr13	25086948	-	PARP4	chr13:24995064-25086948
ENSG00000075673	chr13	25254548	+	ATP12A	chr13:25254549-25285921
ENSG00000132972	chr13	25338289	+	RNF17	chr13:25338290-25454059
ENSG00000151849	chr13	25497018	-	CENPJ	chr13:25457171-25497018
ENSG00000151846	chr13	25670299	+	PABPC3	chr13:25670300-25673389
ENSG00000165566	chr13	25746425	-	AMER2	chr13:25735822-25746426
ENSG00000139505	chr13	25862147	-	MTMR6	chr13:25802307-25862147
ENSG00000139496	chr13	25875661	+	NUPL1	chr13:25875662-25923938
ENSG00000132932	chr13	25946208	+	ATP8A2	chr13:25946209-26599989
ENSG00000180730	chr13	26625169	-	SHISA2	chr13:26618735-26625169
ENSG00000127870	chr13	26796791	-	RNF6	chr13:26706253-26796791
ENSG00000132964	chr13	26828275	+	CDK8	chr13:26828276-26979375
ENSG00000132970	chr13	27131886	+	WASF3	chr13:27131840-27263085
